"Page type","ICD-O-3 Hist/behav","Summary Interval","Derived AJCC Stage Group, 6th ed (2004-2015)","N","Cause-Spec"
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,0,0, 
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,0a,0, 
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,0is,0, 
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,I,0, 
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,INOS,0, 
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,IA,194,43.396
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,IA1,0, 
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,IA2,0, 
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,IB,143,33.509
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,IB1,0, 
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,IB2,0, 
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,IC,0, 
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,IS,0, 
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,IEA,0, 
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,IEB,0, 
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,IE,0, 
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,ISA,0, 
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,ISB,0, 
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,II,0, 
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,IINOS,0, 
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,IIA,18,26.736
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,IIB,47,20.469
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,IIC,0, 
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,IIEA,0, 
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,IIEB,0, 
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,IIE,0, 
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,IISA,0, 
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,IISB,0, 
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,IIS,0, 
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,IIESA,0, 
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,IIESB,0, 
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,IIES,0, 
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,III,0, 
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,IIINOS,0, 
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,IIIA,169,20.310
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,IIIB,351,15.973
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,IIIC,0, 
Survival Summary Page,"8000/3: Neoplasm, malignant",84 mo,IIIEA,0, 
